641,370
643,368
630,372
434,366
639,371
640,368
447,365
631,371
455,368
639,376
460,372
639,376
460,372
641,374
633,378
466,373
633,378
466,373
637,381
629,384
498,380
621,397
558,393
593,410
660,426
475,427
660,426
475,427
622,438
655,471
568,492
568,492
635,507
552,512
552,512
639,509
566,506
573,505
560,508
727,506
560,508
727,506
618,507
675,504
561,506
706,504
561,506
706,504
560,507
567,507
747,505
567,507
747,505
642,507
642,507
561,511
748,508
602,511
559,510
648,510
648,510
648,510
601,510
661,513
632,512
632,512
644,510
673,500
673,500
689,489
711,467
726,427
629,421
726,427
629,421
668,355
632,364
670,296
672,282
630,361
672,282
630,361
637,353
634,353
756,271
637,355
756,271
637,355
639,356
639,356
640,355
640,355
640,354
641,354
635,353
754,299
631,352
631,352
634,353
634,353
634,354
736,313
633,361
636,360
761,338
643,365
771,338
643,365
771,338
643,364
769,334
636,364
767,316
636,364
767,316
634,364
754,303
642,368
760,305
634,370
634,370
641,372
641,373
775,328
636,371
765,346
632,370
632,370
638,377
763,328
629,383
766,328
629,387
629,387
640,397
785,350
639,398
786,369
634,399
626,398
750,364
626,398
750,364
626,398
750,364
642,411
642,411
629,422
660,417
717,419
675,424
705,428
705,428
710,430
595,444
595,444
587,452
591,453
779,445
589,461
773,460
589,461
773,460
599,464
790,463
625,468
785,466
726,472
696,475
696,475
696,475
621,480
795,481
621,480
795,481
803,479
815,482
679,466
727,451
679,466
727,451
677,470
756,477
619,474
723,472
723,472
660,505
570,532
663,477
570,532
663,477
604,470
555,468
555,468
627,461
631,444
696,437
696,437
667,438
676,438
676,438
654,433
645,438
645,438
668,448
703,451
654,455
654,455
692,456
655,453
655,453
690,450
640,451
688,453
688,453
642,450
642,450
708,452
661,452
682,453
669,460
669,460
667,459
664,459
664,459
662,459
665,459
665,459
662,460
663,460
663,460
658,460
675,466
740,472
740,472
635,486
710,487
710,487
658,493
673,494
673,494
764,503
691,509
697,508
690,507
690,507
683,509
683,509
681,510
681,510
718,508
683,505
683,505
685,500
708,487
661,467
711,451
711,451
655,447
650,448
655,443
655,443
650,443
649,444
649,444
649,444
619,442
652,443
654,444
654,444
647,445
652,444
652,444
619,453
730,440
820,464
582,496
582,496
697,512
758,508
758,508
697,503
606,494
591,500
591,500
585,503
734,502
615,503
734,502
615,503
752,505
741,461
688,429
715,403
715,403
687,348
685,320
685,320
610,390
602,391
728,333
601,386
601,386
596,382
703,336
604,380
600,377
612,382
630,302
612,382
630,302
691,326
649,376
649,376
652,422
680,459
697,478
697,478
663,490
662,494
663,487
658,489
658,489
658,489
668,479
668,479
671,454
649,390
649,390
662,333
578,384
701,279
551,321
642,353
635,358
640,358
640,358
636,358
635,353
596,253
756,310
649,358
756,310
649,358
780,364
474,557
566,544
473,534
718,534
473,534
718,534
452,550
805,597
403,450
614,450
632,435
450,418
634,447
634,447
624,448
453,443
676,445
655,461
655,461
617,455
660,456
660,456
658,461
658,456
658,456
631,458
654,453
614,449
614,449
628,452
639,452
653,456
653,456
653,456
653,456
632,454
578,460
701,459
648,457
648,457
663,458
585,460
557,453
574,453
579,452
562,451
571,451
577,450
577,450
570,451
564,451
594,451
563,453
568,452
568,452
568,452
588,455
572,456
587,452
569,450
567,452
563,445
573,447
564,447
